t,P,Q
65.5,0.001289246,-0.000145834
65.6,0.001284058,-0.000145833
65.7,0.00128467,-0.000146413
65.8,0.001289201,-0.000154164
65.9,0.001281812,-0.00014976
66,0.001285132,-0.000152782
66.1,0.001291005,-0.00014988
66.2,0.001296325,-0.000149974
66.3,0.001283539,-0.000152862
66.4,0.001288112,-0.000148601
66.5,0.001286897,-0.000155238
66.6,0.001292608,-0.000159809
66.7,0.001283562,-0.000155474
66.8,0.001293281,-0.000156643
66.9,0.001292182,-0.000163534
67,0.001289074,-0.000160155
67.1,0.001281983,-0.000166884
67.2,0.0012956,-0.000165438
67.3,0.001293055,-0.000169808
67.4,0.001295738,-0.00017277
67.5,0.001289507,-0.000168456
67.6,0.001293257,-0.000171001
67.7,0.001290647,-0.000177646
67.8,0.001317092,-0.000171642
67.9,0.001320979,-0.000171846
68,0.001342095,-0.000173678
68.1,0.001338252,-0.000180778
68.2,0.001352651,-0.000183774
68.3,0.001362563,-0.000182466
68.4,0.001368528,-0.000189719
68.5,0.001373545,-0.000187411
68.6,0.001381077,-0.000193911
68.7,0.001380446,-0.000191833
68.8,0.001397916,-0.000191706
68.9,0.001396154,-0.000191198
69,0.001407846,-0.000194919
69.1,0.0014161,-0.000196278
69.2,0.001418756,-0.000199965
69.3,0.001427976,-0.000200812
69.4,0.001436973,-0.000198449
69.5,0.001446125,-0.000198442
69.6,0.001451124,-0.000201476
69.7,0.001448199,-0.000200058
69.8,0.001441938,-0.000203143
69.9,0.001442021,-0.000206971
70,0.001446498,-0.00020475
70.1,0.001444197,-0.000197646
70.2,0.001445688,-0.000199668
70.3,0.001441365,-0.000200651
70.4,0.001441716,-0.000204088
70.5,0.001435422,-0.000196106
70.6,0.001446656,-0.000196906
70.7,0.001438464,-0.000195392
70.8,0.001436463,-0.00020236
70.9,0.00143354,-0.000202206
71,0.001436368,-0.000196736
71.1,0.001428608,-0.000209688
71.2,0.001438791,-0.000201983
71.3,0.001434365,-0.000198947
71.4,0.001431539,-0.000203808
71.5,0.00143786,-0.000199242
71.6,0.001436338,-0.000197837
71.7,0.001434611,-0.000203924
71.8,0.0014343,-0.000202228
71.9,0.001433265,-0.000206001
72,0.001433385,-0.00020278
72.1,0.001435613,-0.000199228
72.2,0.001435109,-0.000198683
72.3,0.001430257,-0.000203955
72.4,0.001429416,-0.000203087
72.5,0.001429111,-0.000203401
72.6,0.001427871,-0.000208183
72.7,0.001428243,-0.000203398
72.8,0.001427442,-0.000213039
72.9,0.001418991,-0.000220554
73,0.001417249,-0.0002108
73.1,0.001423658,-0.000217292
73.2,0.001419582,-0.000214924
73.3,0.001421213,-0.000215764
73.4,0.001416037,-0.000217714
73.5,0.001417881,-0.000217271
73.6,0.001419908,-0.000213707
73.7,0.001420209,-0.000220226
73.8,0.001419291,-0.000222031
73.9,0.001419395,-0.000226513
74,0.001421282,-0.000221473
74.1,0.001421208,-0.00022073
74.2,0.001410987,-0.000223772
74.3,0.001417571,-0.000225877
74.4,0.001425798,-0.000220357
74.5,0.001410574,-0.000223139
74.6,0.001413209,-0.000227226
74.7,0.001417854,-0.000224945
74.8,0.00140897,-0.00022244
74.9,0.001411232,-0.00023038
75,0.001411259,-0.000223813
75.1,0.001416601,-0.000230726
75.2,0.001407828,-0.000224942
75.3,0.00140719,-0.000224054
75.4,0.001413677,-0.000226977
75.5,0.001406593,-0.00022843
75.6,0.0014026,-0.000225616
75.7,0.001403009,-0.000231521
75.8,0.001405604,-0.000235039
75.9,0.00139677,-0.000224812
76,0.001400589,-0.000227375
76.1,0.001402576,-0.00023495
76.2,0.001399873,-0.000232158
76.3,0.001397226,-0.000231655
76.4,0.00139511,-0.000229593
76.5,0.001402296,-0.000229033
76.6,0.001393642,-0.000227787
76.7,0.001393742,-0.000235034
76.8,0.001393533,-0.000230431
76.9,0.001395572,-0.00023124
77,0.001386265,-0.000225409
77.1,0.001382508,-0.000232925
77.2,0.001387566,-0.0002298
77.3,0.001386627,-0.00022769
77.4,0.001385625,-0.000222981
77.5,0.001381543,-0.000217473
77.6,0.001378157,-0.000230432
77.7,0.001375415,-0.000215937
77.8,0.001379317,-0.000216704
77.9,0.001376293,-0.000210609
78,0.001373167,-0.000208505
78.1,0.001369055,-0.000201929
78.2,0.001373926,-0.000195273
78.3,0.001364204,-0.000191989
78.4,0.001365594,-0.000186207
78.5,0.001366659,-0.000178095
78.6,0.00136966,-0.000179705
78.7,0.001361134,-0.000160285
78.8,0.001367863,-0.000162341
78.9,0.001360381,-0.000145821
79,0.001366192,-0.000151749
79.1,0.001362512,-0.000141337
79.2,0.001361847,-0.000141364
79.3,0.001360961,-0.000137333
79.4,0.001360209,-0.000133573
79.5,0.001360085,-0.000132286
79.6,0.001359685,-0.000142089
79.7,0.001363038,-0.000138167
79.8,0.001360643,-0.000150219
79.9,0.001352959,-0.000151418
80,0.00135938,-0.000152288
80.1,0.001360368,-0.0001576
80.2,0.001359403,-0.000164248
80.3,0.001351923,-0.000171393
80.4,0.001357658,-0.000176353
80.5,0.001355098,-0.000183137
80.6,0.001365832,-0.000187203
80.7,0.001355133,-0.00019548
